Date,Details,Amount,Currency,Debit/Credit
01 Jan 2025,Salary Credit,5000,USD,Credit
02 Jan 2025,Coffee Shop,6.5,USD,Debit
03 Jan 2025,Uber Ride,14,USD,Debit
04 Jan 2025,Grocery Store,120,USD,Debit
05 Jan 2025,Electricity Bill,75,USD,Debit
06 Jan 2025,Restaurant Dinner,60,USD,Debit
07 Jan 2025,Freelance Payment,800,USD,Credit
08 Jan 2025,Netflix Subscription,16,USD,Debit
09 Jan 2025,Pharmacy,20,USD,Debit
10 Jan 2025,Mobile Recharge,25,USD,Debit

11 Jan 2025,Salary Credit,18000,AED,Credit
12 Jan 2025,Coffee Shop,18,AED,Debit
13 Jan 2025,Taxi Ride,35,AED,Debit
14 Jan 2025,Supermarket,220,AED,Debit
15 Jan 2025,Water Bill,90,AED,Debit
16 Jan 2025,Restaurant Lunch,75,AED,Debit
17 Jan 2025,Freelance Payment,3000,AED,Credit
18 Jan 2025,Gym Membership,200,AED,Debit
19 Jan 2025,Online Course,450,AED,Debit
20 Jan 2025,Fast Food,30,AED,Debit

21 Jan 2025,Salary Credit,60000,BDT,Credit
22 Jan 2025,Coffee Shop,250,BDT,Debit
23 Jan 2025,Rickshaw Fare,80,BDT,Debit
24 Jan 2025,Grocery Store,3000,BDT,Debit
25 Jan 2025,Electricity Bill,1500,BDT,Debit
26 Jan 2025,Restaurant Dinner,1200,BDT,Debit
27 Jan 2025,Freelance Payment,20000,BDT,Credit
28 Jan 2025,Internet Bill,1000,BDT,Debit
29 Jan 2025,Pharmacy,600,BDT,Debit
30 Jan 2025,Mobile Recharge,300,BDT,Debit

01 Feb 2025,Salary Credit,5000,USD,Credit
02 Feb 2025,Coffee Shop,5,USD,Debit
03 Feb 2025,Uber Ride,13,USD,Debit
04 Feb 2025,Grocery Store,110,USD,Debit
05 Feb 2025,Electricity Bill,70,USD,Debit
06 Feb 2025,Restaurant Dinner,55,USD,Debit
07 Feb 2025,Freelance Payment,750,USD,Credit
08 Feb 2025,Netflix Subscription,16,USD,Debit
09 Feb 2025,Pharmacy,18,USD,Debit
10 Feb 2025,Mobile Recharge,20,USD,Debit

11 Feb 2025,Salary Credit,17500,AED,Credit
12 Feb 2025,Coffee Shop,17,AED,Debit
13 Feb 2025,Taxi Ride,30,AED,Debit
14 Feb 2025,Supermarket,200,AED,Debit
15 Feb 2025,Water Bill,85,AED,Debit
16 Feb 2025,Restaurant Lunch,70,AED,Debit
17 Feb 2025,Freelance Payment,2800,AED,Credit
18 Feb 2025,Gym Membership,200,AED,Debit
19 Feb 2025,Online Course,400,AED,Debit
20 Feb 2025,Fast Food,28,AED,Debit

